,Course Name,Course Description,Course Subject,Course Number,Link
0,Accounting and Information Technology,"This course examines the role of computerized accounting information systems (AIS) in organizations. Students learn how to justify, design, and utilize AIS to provide pertinent information to managers for decision making. The course helps to identify appropriate usage of information technology in specific accounting contexts. Topics include e-business, computer fraud, information systems security and controls, systems analysis, and management of information technology.",ACCO,350,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
1,Accounting Theory,"This course examines the theoretical foundations of the contemporary approach to financial reporting, and the political and pragmatic considerations in the development of the conceptual framework underlying current accounting standards. Alternative theories of accounting are discussed and controversial areas are emphasized.",ACCO,400,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
2,Advanced Assurance Services,"This course covers important topics and concepts in auditing and assurance services. It builds on audit principles covered in previous courses and introduces specialized and advanced topics that are of particular importance to professional accountants. In covering topics and their application, the course focuses on decision-making processes followed by auditors.",ACCO,465,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
3,Advanced Management Accounting,No Desciption,ACCO,430,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
4,Advanced Taxation,"This course provides core knowledge regarding the federal taxation of corporations, partnerships, and trusts. It introduces analytical skills needed to make decisions regarding various business transfers, combinations, incorporation and estate planning issues for corporations and shareholders.",ACCO,440,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
5,Analysis of Financial Statements,This course explores the usefulness and limitations of financial statements for investment and credit decisions. It focuses on the interpretation of the information contained in financial statements which reflect the economic characteristics of the firm and its strategic business decisions. Instruments and techniques for financial state­ment analysis are discussed and applied to case studies and actual companies.,ACCO,355,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
6,Cost and Management Accounting," This course provides an examination of the techniques, systems, and procedures applicable to the managerial use of accounting information for planning, decision-making, and control. Topics include cost accu­mulation and allocation, product and process costing, flexible budgeting and variance analysis, evaluation of managerial performance, and transfer pricing.",ACCO,330,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
7,Financial and Managerial Accounting," This course continues the intensive study of ACCO 310, with partic­ular emphasis on accounting for liabilities, share­holders’ equity, and other related topics such as earnings per share, pension accounting, and accounting for income taxes.",ACCO,220,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
8,Financial Reporting I,"COMM 305 previously or concurrently. Intensive study is made of the theory and practice of external financial reporting by business organizations, focusing on concepts and procedures underlying the measurement of assets and the determination of income.",ACCO,310,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
9,Financial Reporting II,"This course provides an introduction to account­ing principles underlying the preparation of financial reports with an emphasis on the relationship between accounting information and production decisions. It examines the relationship between costs, production volume, and profit, as well as the practical benefits of standard costs for plan­ning and control purposes. The role of accounting infor­mation in various manufacturing decisions is also highlighted.",ACCO,320,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
10,Financial Reporting III," This course examines the theory and practice of accounting for inter­corporate investments, business combinations, consolidation of financial statements, and foreign currency trans­actions and operations.",ACCO,420,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
11,Financial Reporting IV,"This course addresses special topics in accounting including financial reporting for not-for-profit organizations and government entities. Governance, social responsibility concepts, and accountability frameworks are illustrated by comparing the practices of selected organizations with authoritative standards.",ACCO,425,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
12,Fraud Prevention and Investigation,"This seminar is offered to students in the Honours in Accountancy program over the course of two terms. In the first term, the seminar surveys accounting history, research methodology and recent research in topics covered in the Accountancy curriculum. In addition, students begin working on a research or case project to be conducted under the supervision of a faculty member. In the second term, students complete their project for submission by the end of the term. Presentation of the project at a poster session or department seminar is also required.",ACCO,455,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
13,Honours Seminar in Accountancy,"This seminar is offered to students in the Honours in Accountancy program over the course of two terms. In the first term, the seminar surveys accounting history, research methodology and recent research in topics covered in the Accountancy curriculum. In addition, students begin working on a research or case project to be conducted under the supervision of a faculty member. In the second term, students complete their project for submission by the end of the term. Presentation of the project at a poster session or department seminar is also required.",ACCO,495,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
14,Income Taxation in Canada,"This course provides core knowledge regarding the federal income tax structure and the Canadian goods and services tax system. It examines the taxation of employment, business, property income, capital gains and other sources of income for an individual.",ACCO,340,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
15,Introduction to Financial Accounting,"This course provides an introduction to accounting concepts underlying financial statements of organizations. It focuses on the analysis, mea­surement, and reporting of business transactions to users of financial statements. It also examines the uses and limitations of accounting information for investment and credit decisions.",ACCO,230,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
16,Introduction to Managerial Accounting,"This course examines the role of accounting information for decision making, and focuses on concepts and techniques used in planning operations, controlling activities, and evaluating managerial performance. New developments are addressed with a focus on contemporary business issues and real-world applicability of management accounting concepts and techniques.",ACCO,240,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
17,Principles of Auditing,"This course examines the concepts and methods of auditing and how internal and external audits are integrated in a more general corporate governance and risk management framework. The importance of the design and monitoring of effective internal controls is highlighted. The objectives, concepts and methods of auditing are illustrated with examples and short cases. They are also applied to solve simple problems and cases.",ACCO,360,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
18,Special Topics in Accounting,This course is intended to complement accounting courses taken previously or concurrently at the senior level. It provides an opportunity for more intensive study in one or more specific topics in accounting.,ACCO,470,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
19,Strategic Accounting Case Analysis,"This course integrates topics in financial and management accounting, finance, and business strategy covered in previous courses. Students are involved in a case environment that requires them to analyze the external and internal environments of a business, perform financial analysis, evaluate alternatives, and recommend a plan of action. Students are introduced to enterprise resource planning (ERP) platforms used in companies, asset financing, and aspects of commercial lending to assess financing alternatives.",ACCO,435,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
