,Course Subject,Course Number,Course Name,Topic,URI
0,ACCO,350,Accounting and Information Technology,Information Technology,http://dbpedia.org/resource/Information_technology
1,ACCO,350,Accounting and Information Technology,accounting,http://dbpedia.org/resource/Accounting
2,ACCO,350,Accounting and Information Technology,e-business,http://dbpedia.org/resource/Electronic_business
3,ACCO,350,Accounting and Information Technology,computer,http://dbpedia.org/resource/Computer
4,ACCO,350,Accounting and Information Technology,systems analysis,http://dbpedia.org/resource/Systems_analysis
5,ACCO,400,Accounting Theory,financial reporting,http://dbpedia.org/resource/Financial_statement
6,ACCO,400,Accounting Theory,accounting,http://dbpedia.org/resource/Accounting
7,ACCO,465,Advanced Assurance Services,assurance services,http://dbpedia.org/resource/Assurance_services
8,ACCO,465,Advanced Assurance Services,audit,http://dbpedia.org/resource/Audit
9,ACCO,430,Advanced Management Accounting,Management Accounting,http://dbpedia.org/resource/Management_accounting
10,ACCO,440,Advanced Taxation,estate planning,http://dbpedia.org/resource/Estate_planning
11,ACCO,355,Analysis of Financial Statements,financial statements,http://dbpedia.org/resource/Financial_statement
12,ACCO,330,Cost and Management Accounting,Management Accounting,http://dbpedia.org/resource/Management_accounting
13,ACCO,330,Cost and Management Accounting,accounting,http://dbpedia.org/resource/Accounting
14,ACCO,330,Cost and Management Accounting,variance,http://dbpedia.org/resource/Variance
15,ACCO,330,Cost and Management Accounting,transfer pricing,http://dbpedia.org/resource/Transfer_pricing
16,ACCO,220,Financial and Managerial Accounting,ACCO,"http://dbpedia.org/resource/Acre,_Israel"
17,ACCO,220,Financial and Managerial Accounting,accounting,http://dbpedia.org/resource/Accounting
18,ACCO,220,Financial and Managerial Accounting,equity,http://dbpedia.org/resource/Stock
19,ACCO,220,Financial and Managerial Accounting,pension,http://dbpedia.org/resource/Pension
20,ACCO,310,Financial Reporting I,financial reporting,http://dbpedia.org/resource/Financial_statement
21,ACCO,320,Financial Reporting II,accounting,http://dbpedia.org/resource/Accounting
22,ACCO,420,Financial Reporting III,accounting,http://dbpedia.org/resource/Accounting
23,ACCO,420,Financial Reporting III,financial statements,http://dbpedia.org/resource/Financial_statement
24,ACCO,420,Financial Reporting III,currency,http://dbpedia.org/resource/Currency
25,ACCO,425,Financial Reporting IV,accounting,http://dbpedia.org/resource/Accounting
26,ACCO,425,Financial Reporting IV,financial reporting,http://dbpedia.org/resource/Financial_statement
27,ACCO,455,Fraud Prevention and Investigation,Accountancy,http://dbpedia.org/resource/Accounting
28,ACCO,455,Fraud Prevention and Investigation,poster session,http://dbpedia.org/resource/Poster_session
29,ACCO,495,Honours Seminar in Accountancy,Accountancy,http://dbpedia.org/resource/Accounting
30,ACCO,495,Honours Seminar in Accountancy,poster session,http://dbpedia.org/resource/Poster_session
31,ACCO,340,Income Taxation in Canada,Canada,http://dbpedia.org/resource/Canada
32,ACCO,340,Income Taxation in Canada,federal income tax,http://dbpedia.org/resource/Income_tax_in_the_United_States
33,ACCO,340,Income Taxation in Canada,Canadian,http://dbpedia.org/resource/Canada
34,ACCO,340,Income Taxation in Canada,property income,http://dbpedia.org/resource/Property_income
35,ACCO,340,Income Taxation in Canada,capital gains,http://dbpedia.org/resource/Capital_gain
36,ACCO,230,Introduction to Financial Accounting,accounting,http://dbpedia.org/resource/Accounting
37,ACCO,230,Introduction to Financial Accounting,financial statements,http://dbpedia.org/resource/Financial_statement
38,ACCO,240,Introduction to Managerial Accounting,accounting,http://dbpedia.org/resource/Accounting
39,ACCO,360,Principles of Auditing,corporate governance,http://dbpedia.org/resource/Corporate_governance
40,ACCO,435,Strategic Accounting Case Analysis,accounting,http://dbpedia.org/resource/Accounting
41,ACCO,435,Strategic Accounting Case Analysis,enterprise resource planning (ERP),http://dbpedia.org/resource/Enterprise_resource_planning
42,ACCO,365,U.S. Federal Taxation,tax planning,http://dbpedia.org/resource/Tax_avoidance
43,ACTT,450,Advanced Acting Studio,Studio Building,http://dbpedia.org/resource/Studio_Building_(Toronto)
44,ACTT,460,Classical Text Project A,Project A,http://dbpedia.org/resource/Project_A
45,ACTT,460,Classical Text Project A,playwright,http://dbpedia.org/resource/Playwright
46,ACTT,460,Classical Text Project A,Shakespeare,http://dbpedia.org/resource/William_Shakespeare
47,ACTT,460,Classical Text Project A,Zeami,http://dbpedia.org/resource/Zeami_Motokiyo
48,ACTT,461,Classical Text Project B,playwright,http://dbpedia.org/resource/Playwright
49,ACTT,461,Classical Text Project B,Shakespeare,http://dbpedia.org/resource/William_Shakespeare
50,ACTT,461,Classical Text Project B,Zeami,http://dbpedia.org/resource/Zeami_Motokiyo
51,ACTT,462,Classical Text Project C,playwright,http://dbpedia.org/resource/Playwright
52,ACTT,462,Classical Text Project C,Shakespeare,http://dbpedia.org/resource/William_Shakespeare
53,ACTT,462,Classical Text Project C,Zeami,http://dbpedia.org/resource/Zeami_Motokiyo
54,ACTT,481,Conducting an Acting Workshop,wide range,http://dbpedia.org/resource/Fender_Wide_Range
55,ACTT,433,Creation Project A,Project A,http://dbpedia.org/resource/Project_A
56,ACTT,480,Designing an Acting Workshop,philosophy,http://dbpedia.org/resource/Philosophy
57,ACTT,360,Ensemble II,Brechtian,http://dbpedia.org/resource/Bertolt_Brecht
58,ACTT,360,Ensemble II,epic theatre,http://dbpedia.org/resource/Epic_theatre
59,ACTT,332,Improvisation,improvisation,http://dbpedia.org/resource/Improvisation
60,ACTT,201,Introduction to Acting I,expression,http://dbpedia.org/resource/Gene_expression
61,ACTT,201,Introduction to Acting I,basics,http://dbpedia.org/resource/British_Association_for_Immediate_Care
62,ACTT,201,Introduction to Acting I,improvisation,http://dbpedia.org/resource/Improvisation
63,ACTT,321,Movement for the Stage II,Laban,http://dbpedia.org/resource/Rudolf_von_Laban
64,ACTT,321,Movement for the Stage II,Biomechanics,http://dbpedia.org/resource/Biomechanics
65,ACTT,321,Movement for the Stage II,somatic,http://dbpedia.org/resource/Somatics
66,ACTT,458,Movement for the Stage IV,Laban,http://dbpedia.org/resource/Rudolf_von_Laban
67,ACTT,458,Movement for the Stage IV,biomechanics,http://dbpedia.org/resource/Biomechanics
68,ACTT,458,Movement for the Stage IV,somatic,http://dbpedia.org/resource/Somatics
69,ACTT,358,Movement for the Studio III,Viewpoints,http://dbpedia.org/resource/Viewpoints
70,ACTT,358,Movement for the Studio III,Eugenio Barba,http://dbpedia.org/resource/Eugenio_Barba
71,ACCO,470,Special Topics in Accounting,accounting,http://dbpedia.org/resource/Accounting
72,ACTT,436,One-Act Project A,Project A,http://dbpedia.org/resource/Project_A
73,ACTT,432,Rasaboxes,emotion,http://dbpedia.org/resource/Emotion
74,ACTT,432,Rasaboxes,Richard Schechner,http://dbpedia.org/resource/Richard_Schechner
75,ACTT,210,Scene Study I,Stanislavski,http://dbpedia.org/resource/Konstantin_Stanislavski
76,ACTT,210,Scene Study I,early modern,http://dbpedia.org/resource/Early_modern_period
77,ACTT,331,Scene Study II,existentialism,http://dbpedia.org/resource/Existentialism
78,ACTT,331,Scene Study II,absurdism,http://dbpedia.org/resource/Absurdism
79,ACTT,331,Scene Study II,expressionism,http://dbpedia.org/resource/Expressionism
80,ACTT,372,Stage Combat,stage combat,http://dbpedia.org/resource/Stage_combat
81,ACTT,211,Voice and Movement for the Stage I,expression,http://dbpedia.org/resource/Gene_expression
82,ACTT,325,Voice for the Stage II,self-awareness,http://dbpedia.org/resource/Self-awareness
83,ACTT,355,Voice for the Stage III,slam poetry,http://dbpedia.org/resource/Poetry_slam
84,ACTT,455,Voice for the Stage IV,voice-over,http://dbpedia.org/resource/Voice-over
85,ACTU,257,Actuarial Mathematics I,mortality,http://dbpedia.org/resource/Mortality_rate
86,ACTU,257,Actuarial Mathematics I,life insurance,http://dbpedia.org/resource/Life_insurance
87,ACTU,257,Actuarial Mathematics I,life annuities,http://dbpedia.org/resource/Life_annuity
88,ACTU,286,Actuarial Mathematics Lab I,financial mathematics,http://dbpedia.org/resource/Mathematical_finance
89,ACTU,286,Actuarial Mathematics Lab I,Casualty Actuarial Society,http://dbpedia.org/resource/Casualty_Actuarial_Society
90,ACTU,486,Actuarial Mathematics Lab III,Casualty Actuarial Society,http://dbpedia.org/resource/Casualty_Actuarial_Society
91,ACTU,458,Credibility Theory,inference,http://dbpedia.org/resource/Statistical_inference
92,ACTU,458,Credibility Theory,classical,http://dbpedia.org/resource/Classical_logic
93,ACTU,458,Credibility Theory,regression,http://dbpedia.org/resource/Regression_analysis
94,ACTU,458,Credibility Theory,insurance,http://dbpedia.org/resource/Insurance
95,ACTU,459,Loss Distributions,Probability,http://dbpedia.org/resource/Probability
96,ACTU,256,Mathematics of Finance,amortization,http://dbpedia.org/resource/Amortization
97,ACTU,256,Mathematics of Finance,securities,http://dbpedia.org/resource/United_States_Treasury_security
98,ACTU,256,Mathematics of Finance,life insurance,http://dbpedia.org/resource/Life_insurance
99,ACTU,492,Reading Course in Actuarial Mathematics,Reading,http://dbpedia.org/resource/Reading_F.C.
100,ACTU,457,Risk Theory,contingency theory,http://dbpedia.org/resource/Contingency_theory
101,ACTU,457,Risk Theory,health insurance,http://dbpedia.org/resource/Health_insurance
102,ACTU,457,Risk Theory,risk theory,http://dbpedia.org/resource/Ruin_theory
103,ACTU,457,Risk Theory,ruin theory,http://dbpedia.org/resource/Ruin_theory
104,ADED,410,Adult Education in Canada and Quebec,Canada,http://dbpedia.org/resource/Canada
105,ADED,410,Adult Education in Canada and Quebec,Quebec,http://dbpedia.org/resource/Quebec
106,ADED,410,Adult Education in Canada and Quebec,adult education,http://dbpedia.org/resource/Adult_education
107,ADED,220,Adults as Learners,self-concept,http://dbpedia.org/resource/Self-concept
108,ADED,412,Concepts and Values in Adult Education,sphere,http://dbpedia.org/resource/Sphere
109,ADED,403,Diversity in Adults,racism,http://dbpedia.org/resource/Racism
110,ADED,403,Diversity in Adults,sexism,http://dbpedia.org/resource/Sexism
111,ADED,403,Diversity in Adults,classism,http://dbpedia.org/resource/Class_discrimination
112,ADED,403,Diversity in Adults,homophobia,http://dbpedia.org/resource/Homophobia
113,ADED,403,Diversity in Adults,structural inequality,http://dbpedia.org/resource/Structural_inequality
114,ADED,302,Group Dynamics,group dynamics,http://dbpedia.org/resource/Group_dynamics
115,ADED,496,Integrative Internship_I,experiential learning,http://dbpedia.org/resource/Experiential_learning
116,ADED,496,Integrative Internship_I,philosophy,http://dbpedia.org/resource/Philosophy
117,ADED,496,Integrative Internship_I,adult education,http://dbpedia.org/resource/Adult_education
118,ADED,497,Integrative Internship_II,philosophy,http://dbpedia.org/resource/Philosophy
119,ADED,497,Integrative Internship_II,adult education,http://dbpedia.org/resource/Adult_education
120,ADED,240,Introduction to Research in Adult Education,adult education,http://dbpedia.org/resource/Adult_education
121,ADED,440,Issues in the Practice of Adult Education,adult education,http://dbpedia.org/resource/Adult_education
122,ADED,333,Methods and Techniques for Facilitating Adult Learning,simulation methods,http://dbpedia.org/resource/Simulation
123,ADED,230,Roles and Competencies of Adult Educators,adult education,http://dbpedia.org/resource/Adult_education
124,ADED,230,Roles and Competencies of Adult Educators,General,http://dbpedia.org/resource/General_officer
125,ADED,202,The Scope and Nature of Adult Education Programs,adult education,http://dbpedia.org/resource/Adult_education
126,ADED,202,The Scope and Nature of Adult Education Programs,self-directedness,http://dbpedia.org/resource/Self-directedness
127,AERO,464,Aerodynamics,Aerodynamics,http://dbpedia.org/resource/Aerodynamics
128,AERO,464,Aerodynamics,conservation equations,http://dbpedia.org/resource/Conservation_law
129,AERO,464,Aerodynamics,incompressible,http://dbpedia.org/resource/Incompressible_flow
130,AERO,464,Aerodynamics,Navier-Stokes equations,http://dbpedia.org/resource/Navier–Stokes_equations
131,AERO,464,Aerodynamics,inviscid,http://dbpedia.org/resource/Inviscid_flow
132,AERO,464,Aerodynamics,irrotational,http://dbpedia.org/resource/Potential_flow
133,AERO,464,Aerodynamics,Euler equations,http://dbpedia.org/resource/List_of_things_named_after_Leonhard_Euler
134,AERO,464,Aerodynamics,stream function,http://dbpedia.org/resource/Stream_function
135,AERO,464,Aerodynamics,inviscid flow,http://dbpedia.org/resource/Inviscid_flow
136,AERO,464,Aerodynamics,Helmholtz,http://dbpedia.org/resource/Hermann_von_Helmholtz
137,AERO,464,Aerodynamics,superposition,http://dbpedia.org/resource/Superposition_principle
138,AERO,464,Aerodynamics,Airfoil,http://dbpedia.org/resource/Airfoil
139,AERO,464,Aerodynamics,Biot-Savart law,http://dbpedia.org/resource/Biot–Savart_law
140,AERO,464,Aerodynamics,vortex,http://dbpedia.org/resource/Vorticity
141,AERO,464,Aerodynamics,Incompressible flow,http://dbpedia.org/resource/Incompressible_flow
142,AERO,464,Aerodynamics,lifting bodies,http://dbpedia.org/resource/Lifting_body
143,AERO,464,Aerodynamics,subsonic,http://dbpedia.org/resource/Aerodynamics
144,AERO,464,Aerodynamics,compressibility,http://dbpedia.org/resource/Compressibility
145,AERO,464,Aerodynamics,area rule,http://dbpedia.org/resource/Area_rule
146,AERO,464,Aerodynamics,Transonic,http://dbpedia.org/resource/Transonic
147,AERO,390,Aerospace Engineering Design Project,Aerospace Engineering,http://dbpedia.org/resource/Aerospace_engineering
148,AERO,390,Aerospace Engineering Design Project,philosophy,http://dbpedia.org/resource/Philosophy
149,AERO,390,Aerospace Engineering Design Project,Computer-Aided Design,http://dbpedia.org/resource/Computer-aided_design
150,AERO,390,Aerospace Engineering Design Project,CAD,http://dbpedia.org/resource/Computer-aided_design
151,AERO,390,Aerospace Engineering Design Project,CAE,http://dbpedia.org/resource/Computer-aided_engineering
152,AERO,471,Aircraft Hydro-Mechanical and Fuel Systems,hydraulic,http://dbpedia.org/resource/Hydraulics
153,AERO,471,Aircraft Hydro-Mechanical and Fuel Systems,control actuation,http://dbpedia.org/resource/Aircraft_flight_control_system
154,AERO,471,Aircraft Hydro-Mechanical and Fuel Systems,landing gear,http://dbpedia.org/resource/Landing_gear
155,AERO,471,Aircraft Hydro-Mechanical and Fuel Systems,simulation,http://dbpedia.org/resource/Flight_simulator
156,AERO,472,Aircraft Pneumatic and Electrical Power Systems,emergency power systems,http://dbpedia.org/resource/Emergency_power_system
157,AERO,472,Aircraft Pneumatic and Electrical Power Systems,environmental control system,http://dbpedia.org/resource/Environmental_control_system_(aircraft)
158,AERO,472,Aircraft Pneumatic and Electrical Power Systems,ice,http://dbpedia.org/resource/Ice
159,AERO,472,Aircraft Pneumatic and Electrical Power Systems,pneumatic,http://dbpedia.org/resource/Pneumatics
160,AERO,472,Aircraft Pneumatic and Electrical Power Systems,simulation,http://dbpedia.org/resource/Computer_simulation
161,AERO,486,Aircraft Stress Analysis,shear flow,http://dbpedia.org/resource/Shear_flow
162,AERO,486,Aircraft Stress Analysis,Stress analysis,http://dbpedia.org/resource/Stress–strain_analysis
163,AERO,486,Aircraft Stress Analysis,statically indeterminate,http://dbpedia.org/resource/Statically_indeterminate
164,AERO,486,Aircraft Stress Analysis,torque boxes,http://dbpedia.org/resource/Vehicle_frame
